Epoch 1,912814.1602386603
Epoch 1,3817666.4037447255
Epoch 2,2144003.233649789
Epoch 3,1979309.915084388
Epoch 4,1955393.8875263713
Epoch 5,1936284.9227320675
Epoch 6,1933523.6898734176
Epoch 7,1936860.7141350212
Epoch 8,1941041.905063291
Epoch 9,1930974.8887790085
Epoch 10,1931856.082542194
Epoch 11,1934560.3864055907
Epoch 12,1936307.2394514768
Epoch 13,1939307.3018855485
Epoch 14,1939119.6015295358
Epoch 15,1933093.6012658228
Epoch 16,1937930.3604957806
Epoch 17,1937801.5175369198
Epoch 18,1950086.9952531646
Epoch 19,1932791.2754483123
Epoch 20,1934358.405063291
Epoch 21,1934676.1864451477
Epoch 22,1935838.9639372362
Epoch 23,1937580.9989451477
Epoch 24,1946754.055379747
Epoch 25,1942919.4419831224
Epoch 26,1938302.0977056962
Epoch 27,1940005.7424841772
Epoch 28,1935427.8106540085
Epoch 29,1933235.3920094937
Epoch 30,1929769.926292194
Epoch 31,1938074.947257384
Epoch 32,1931884.5709388186
Epoch 33,1929779.0661919832
Epoch 34,1934750.2063554851
Epoch 35,1931819.3287183545
Epoch 36,1927584.2195411392
Epoch 37,1928796.5883438818
Epoch 38,1929640.7192774261
Epoch 39,1931695.123813291
Epoch 40,1934585.4405327004
Epoch 41,1927906.9778481012
Epoch 42,1930512.7518459915
Epoch 43,1932166.367945675
Epoch 44,1934215.8594409283
Epoch 45,1929198.4903744725
Epoch 46,1930665.1615242616
Epoch 47,1927808.4171940929
Epoch 48,1925460.911128692
Epoch 49,1928518.8722310127
Epoch 50,1925532.6304061182
